TIME,CH1,CH2,CH3,CH4
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.36,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.22,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.36,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.22,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.36,0.22,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.22,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.14,0.08,-0.1
-5.00E-01,0.36,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.36,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.12,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.32,0.18,0.08,-0.1
-5.00E-01,0.32,0.18,0.12,-0.1
-5.00E-01,0.36,0.18,0.08,-0.1
-5.00E-01,0.36,0.18,0.12,-0.06
-5.00E-01,0.28,0.18,0.08,-0.06
-5.00E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.36,0.14,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.36,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.36,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.36,0.18,0.08,-0.1
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.36,0.18,0.12,-0.06
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.28,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.36,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.36,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.36,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.14,0.08,-0.06
-4.99E-01,0.36,0.18,0.12,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.36,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.12,-0.06
-4.99E-01,0.28,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.99E-01,0.36,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.06
-4.99E-01,0.32,0.18,0.08,-0.1
-4.99E-01,0.32,0.18,0.12,-0.1
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.1
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.14,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.1
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.1
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.1
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.1
-4.98E-01,0.36,0.22,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.22,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.14,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.1
-4.98E-01,0.32,0.18,0.08,-0.1
-4.98E-01,0.36,0.22,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.02
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.1
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.1
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.22,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.1
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.08,-0.1
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.32,0.18,0.12,-0.06
-4.98E-01,0.36,0.18,0.12,-0.06
-4.98E-01,0.32,0.18,0.08,-0.06
-4.98E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.02
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.14,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.22,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.1
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.22,0.12,-0.1
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.22,0.12,-0.02
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.1
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.02
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.02
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.22,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.36,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.08,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.97E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.14,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.22,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.36,0.22,0.08,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.22,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.02
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.22,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.02
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.02
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.36,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.02
-4.96E-01,0.36,0.18,0.12,-0.02
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.02
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.32,0.22,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.22,0.08,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.36,0.18,0.08,-0.06
-4.96E-01,0.32,0.22,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
-4.96E-01,0.32,0.18,0.12,-0.06
